team,group,win_title_%,reach_final_%,reach_semi_%,reach_qf_%,qualify_%,elo_rating
Spain,Group G,16.77,24.87,35.93,50.66,89.94,2023.0
Argentina,Group B,11.45,18.96,29.93,45.56,94.34,2003.0
France,Group H,9.59,16.49,26.87,41.14,87.34,2000.0
England,Group I,6.6,11.54,20.92,34.58,84.6,1930.0
Netherlands,Group J,5.34,10.33,19.3,33.68,90.61,1907.0
Colombia,Group H,4.71,9.03,17.25,31.41,84.31,1909.0
Brazil,Group D,4.69,8.68,16.39,28.78,72.2,1917.0
Portugal,Group F,4.11,8.39,16.32,29.66,84.18,1921.0
Italy,Group K,3.52,7.67,15.74,30.05,94.36,1886.0
Germany,Group E,3.51,7.6,15.44,29.97,90.84,1922.0
Croatia,Group G,2.69,6.26,12.53,24.4,73.3,1885.0
Uruguay,Group H,2.66,5.92,12.11,22.93,75.47,1855.0
Ecuador,Group D,2.51,5.68,11.19,21.58,64.58,1902.0
Morocco,Group E,2.46,5.87,12.98,26.54,87.38,1914.0
Japan,Group D,2.34,5.67,11.72,22.8,72.32,1914.0
Mexico,Group C,1.85,4.58,10.95,23.61,91.48,1864.0
Turkey,Group F,1.63,4.18,9.29,19.8,74.62,1890.0
Belgium,Group G,1.5,3.73,8.54,18.33,68.0,1865.0
Switzerland,Group L,1.43,3.58,8.46,19.28,71.37,1850.0
Denmark,Group L,1.35,3.61,8.84,20.18,81.24,1849.0
Senegal,Group J,1.27,3.02,7.59,16.99,72.58,1848.0
Australia,Group E,1.23,3.09,7.84,18.85,85.29,1831.0
Paraguay,Group D,1.15,3.03,6.71,14.88,59.58,1847.0
South Korea,Group L,0.81,2.26,5.6,13.16,61.01,1828.0
Algeria,Group I,0.81,2.06,5.59,13.99,64.06,1838.0
Canada,Group B,0.67,1.98,5.27,13.84,73.71,1816.0
Iran,Group I,0.54,1.51,4.31,11.67,58.01,1816.0
Hungary,Group I,0.37,1.01,3.0,8.81,61.14,1759.0
Poland,Group K,0.35,1.22,3.88,12.1,83.26,1774.0
Egypt,Group L,0.34,1.01,2.73,7.96,52.45,1778.0
Czech Republic,Group F,0.32,1.12,3.68,9.76,55.81,1777.0
Nigeria,Group F,0.31,0.9,2.82,8.2,53.8,1784.0
Venezuela,Group C,0.25,0.65,2.59,8.43,75.59,1742.0
Panama,Group A,0.2,0.87,3.35,11.39,85.88,1763.0
Ivory Coast,Group J,0.19,0.74,2.36,7.7,55.89,1769.0
Saudi Arabia,Group K,0.12,0.55,2.26,8.09,72.79,1701.0
Chile,Group B,0.1,0.51,1.98,6.81,54.44,1740.0
Peru,Group B,0.06,0.29,1.1,4.14,40.75,1683.0
New Zealand,Group A,0.06,0.5,1.97,7.53,81.98,1690.0
Serbia,Group G,0.05,0.31,1.18,4.02,35.57,1752.0
Ghana,Group J,0.03,0.15,0.58,3.06,44.25,1645.0
Cameroon,Group C,0.03,0.15,0.71,3.84,56.96,1664.0
Bolivia,Group A,0.02,0.28,1.39,5.71,75.36,1691.0
Costa Rica,Group H,0.01,0.09,0.4,1.61,20.11,1669.0
Jamaica,Group C,0.0,0.05,0.35,2.04,39.6,1632.0
USA,Group A,0.0,0.01,0.04,0.25,25.48,1500.0
Korea Republic,Group E,0.0,0.0,0.01,0.09,7.87,1500.0
Uganda,Group K,0.0,0.0,0.01,0.14,14.3,1509.0
