group,team
Group A,USA
Group A,Panama
Group A,Bolivia
Group A,New Zealand
Group B,Argentina
Group B,Chile
Group B,Peru
Group B,Canada
Group C,Mexico
Group C,Jamaica
Group C,Venezuela
Group C,Cameroon
Group D,Brazil
Group D,Ecuador
Group D,Paraguay
Group D,Japan
Group E,Germany
Group E,Australia
Group E,Korea Republic
Group E,Morocco
Group F,Portugal
Group F,Czech Republic
Group F,Turkey
Group F,Nigeria
Group G,Spain
Group G,Croatia
Group G,Belgium
Group G,Serbia
Group H,France
Group H,Uruguay
Group H,Colombia
Group H,Costa Rica
Group I,England
Group I,Algeria
Group I,Iran
Group I,Hungary
Group J,Netherlands
Group J,Senegal
Group J,Ivory Coast
Group J,Ghana
Group K,Italy
Group K,Poland
Group K,Saudi Arabia
Group K,Uganda
Group L,Switzerland
Group L,South Korea
Group L,Denmark
Group L,Egypt
